OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,WINPARTY,WINPERCENT,WINCATEGORY,TOTBALLOTSLINK,INPERSON,TOTBALLOTS,CANDIDATE1,PARTY1,NUMVOTES1,PERCVOTE1,CANDIDATE2,PARTY2,NUMVOTES2,PERCVOTE2,CANDIDATE3,PARTY3,NUMVOTES3,PERCVOTE3
1,623,ALBAN,Fairfax,2016-03-16T11:51:43.000Z,stulad,623,ALBAN,Fairfax County,Hillary Clinton,0.222222,10,567,540,567,Hillary Clinton,Hillary Clinton,331,0.583774,Martin J. O'Malley,Martin J. O'Malley,2,0.003527,Bernie Sanders,Bernie Sanders,205,0.361552
2,626,SARATOGA,Fairfax,2016-03-16T11:51:43.000Z,stulad,626,SARATOGA,Fairfax County,Hillary Clinton,0.328691,30,718,694,718,Hillary Clinton,Hillary Clinton,463,0.644847,Martin J. O'Malley,Martin J. O'Malley,4,0.005571,Bernie Sanders,Bernie Sanders,227,0.316156
3,421,KINGSTOWNE,Fairfax,2016-03-16T11:51:43.000Z,stulad,421,KINGSTOWNE,Fairfax County,Hillary Clinton,0.299458,10,738,694,738,Hillary Clinton,Hillary Clinton,457,0.619241,Martin J. O'Malley,Martin J. O'Malley,1,0.001355,Bernie Sanders,Bernie Sanders,236,0.319783
4,426,GREENSPRING,Fairfax,2016-03-16T11:51:43.000Z,stulad,426,GREENSPRING,Fairfax County,Hillary Clinton,0.78634,30,571,557,571,Hillary Clinton,Hillary Clinton,501,0.877408,Martin J. O'Malley,Martin J. O'Malley,4,0.007005,Bernie Sanders,Bernie Sanders,52,0.091068
5,840,WEST SPRINGFIELD,Fairfax,2016-03-16T11:51:43.000Z,stulad,840,WEST SPRINGFIELD,Fairfax County,Hillary Clinton,0.328704,30,648,602,648,Hillary Clinton,Hillary Clinton,406,0.626543,Martin J. O'Malley,Martin J. O'Malley,3,0.00463,Bernie Sanders,Bernie Sanders,193,0.29784
6,825,CHERRY RUN,Fairfax,2016-03-16T11:51:43.000Z,stulad,825,CHERRY RUN,Fairfax County,Hillary Clinton,0.346084,30,549,514,549,Hillary Clinton,Hillary Clinton,351,0.639344,Martin J. O'Malley,Martin J. O'Malley,2,0.003643,Bernie Sanders,Bernie Sanders,161,0.29326
7,812,VALLEY,Fairfax,2016-03-16T11:51:43.000Z,stulad,812,VALLEY,Fairfax County,Hillary Clinton,0.171186,10,590,559,590,Hillary Clinton,Hillary Clinton,328,0.555932,Martin J. O'Malley,Martin J. O'Malley,4,0.00678,Bernie Sanders,Bernie Sanders,227,0.384746
8,417,GARFIELD,Fairfax,2016-03-16T11:51:43.000Z,stulad,417,GARFIELD,Fairfax County,Hillary Clinton,0.240132,10,608,590,608,Hillary Clinton,Hillary Clinton,366,0.601974,Martin J. O'Malley,Martin J. O'Malley,4,0.006579,Bernie Sanders,Bernie Sanders,220,0.361842
9,842,PARKWAY,Fairfax,2016-03-16T11:51:43.000Z,stulad,842,PARKWAY,Fairfax County,Hillary Clinton,0.360277,30,433,400,433,Hillary Clinton,Hillary Clinton,277,0.639723,Martin J. O'Malley,Martin J. O'Malley,2,0.004619,Bernie Sanders,Bernie Sanders,121,0.279446
10,130,TERRA CENTRE,Fairfax,2016-03-16T11:51:43.000Z,stulad,130,TERRA CENTRE,Fairfax County,Hillary Clinton,0.263653,10,531,494,531,Hillary Clinton,Hillary Clinton,315,0.59322,Martin J. O'Malley,Martin J. O'Malley,4,0.007533,Bernie Sanders,Bernie Sanders,175,0.329567
11,129,KEENE MILL,Fairfax,2016-03-16T11:51:43.000Z,stulad,129,KEENE MILL,Fairfax County,Hillary Clinton,0.142473,10,372,349,372,Hillary Clinton,Hillary Clinton,201,0.540323,Martin J. O'Malley,Martin J. O'Malley,0,0,Bernie Sanders,Bernie Sanders,148,0.397849
12,827,IRVING,Fairfax,2016-03-16T11:51:43.000Z,stulad,827,IRVING,Fairfax County,Hillary Clinton,0.242373,10,590,559,590,Hillary Clinton,Hillary Clinton,350,0.59322,Martin J. O'Malley,Martin J. O'Malley,2,0.00339,Bernie Sanders,Bernie Sanders,207,0.350847
13,833,WHITE OAKS,Fairfax,2016-03-16T11:51:43.000Z,stulad,833,WHITE OAKS,Fairfax County,Hillary Clinton,0.17953,10,596,560,596,Hillary Clinton,Hillary Clinton,332,0.557047,Martin J. O'Malley,Martin J. O'Malley,3,0.005034,Bernie Sanders,Bernie Sanders,225,0.377517
14,415,CRESTWOOD,Fairfax,2016-03-16T11:51:43.000Z,stulad,415,CRESTWOOD,Fairfax County,Hillary Clinton,0.123016,10,504,493,504,Hillary Clinton,Hillary Clinton,276,0.547619,Martin J. O'Malley,Martin J. O'Malley,2,0.003968,Bernie Sanders,Bernie Sanders,214,0.424603
15,128,CARDINAL,Fairfax,2016-03-16T11:51:43.000Z,stulad,128,CARDINAL,Fairfax County,Hillary Clinton,0.154902,10,510,480,510,Hillary Clinton,Hillary Clinton,276,0.541176,Martin J. O'Malley,Martin J. O'Malley,7,0.013725,Bernie Sanders,Bernie Sanders,197,0.386275
16,801,BURKE,Fairfax,2016-03-16T11:51:43.000Z,stulad,801,BURKE,Fairfax County,Hillary Clinton,0.181243,10,949,886,949,Hillary Clinton,Hillary Clinton,528,0.556375,Martin J. O'Malley,Martin J. O'Malley,2,0.002107,Bernie Sanders,Bernie Sanders,356,0.375132
17,127,BURKE CENTRE,Fairfax,2016-03-16T11:51:43.000Z,stulad,127,BURKE CENTRE,Fairfax County,Hillary Clinton,0.193548,10,899,847,899,Hillary Clinton,Hillary Clinton,510,0.567297,Martin J. O'Malley,Martin J. O'Malley,2,0.002225,Bernie Sanders,Bernie Sanders,336,0.373749
18,105,FAIRVIEW,Fairfax,2016-03-16T11:51:43.000Z,stulad,105,FAIRVIEW,Fairfax County,Hillary Clinton,0.189638,10,1023,979,1023,Hillary Clinton,Hillary Clinton,584,0.57087,Martin J. O'Malley,Martin J. O'Malley,5,0.004888,Bernie Sanders,Bernie Sanders,390,0.381232
19,401,BUSH HILL,Fairfax,2016-03-16T11:51:43.000Z,stulad,401,BUSH HILL,Fairfax County,Hillary Clinton,0.319843,30,766,733,766,Hillary Clinton,Hillary Clinton,486,0.634465,Martin J. O'Malley,Martin J. O'Malley,6,0.007833,Bernie Sanders,Bernie Sanders,241,0.314621
20,402,CAMERON,Fairfax,2016-03-16T11:51:43.000Z,stulad,402,CAMERON,Fairfax County,Hillary Clinton,0.292576,10,229,214,229,Hillary Clinton,Hillary Clinton,140,0.611354,Martin J. O'Malley,Martin J. O'Malley,1,0.004367,Bernie Sanders,Bernie Sanders,73,0.318777
21,125,SIGNAL HILL,Fairfax,2016-03-16T11:51:43.000Z,stulad,125,SIGNAL HILL,Fairfax County,Hillary Clinton,0.273403,10,673,616,673,Hillary Clinton,Hillary Clinton,399,0.592868,Martin J. O'Malley,Martin J. O'Malley,1,0.001486,Bernie Sanders,Bernie Sanders,215,0.319465
22,119,LAUREL,Fairfax,2016-03-16T11:51:43.000Z,stulad,119,LAUREL,Fairfax County,Hillary Clinton,0.188985,10,926,869,926,Hillary Clinton,Hillary Clinton,518,0.559395,Martin J. O'Malley,Martin J. O'Malley,8,0.008639,Bernie Sanders,Bernie Sanders,343,0.37041
23,526,BREN MAR,Fairfax,2016-03-16T11:51:43.000Z,stulad,526,BREN MAR,Fairfax County,Hillary Clinton,0.344828,30,754,729,754,Hillary Clinton,Hillary Clinton,493,0.653846,Martin J. O'Malley,Martin J. O'Malley,3,0.003979,Bernie Sanders,Bernie Sanders,233,0.309019
24,123,ROBINSON,Fairfax,2016-03-16T11:51:43.000Z,stulad,123,ROBINSON,Fairfax County,Hillary Clinton,0.263889,10,864,820,864,Hillary Clinton,Hillary Clinton,523,0.605324,Martin J. O'Malley,Martin J. O'Malley,2,0.002315,Bernie Sanders,Bernie Sanders,295,0.341435
25,521,BROOK HILL,Fairfax,2016-03-16T11:51:43.000Z,stulad,521,BROOK HILL,Fairfax County,Hillary Clinton,0.210127,10,395,382,395,Hillary Clinton,Hillary Clinton,232,0.587342,Martin J. O'Malley,Martin J. O'Malley,1,0.002532,Bernie Sanders,Bernie Sanders,149,0.377215
26,504,BRISTOW,Fairfax,2016-03-16T11:51:43.000Z,stulad,504,BRISTOW,Fairfax County,Hillary Clinton,0.309368,30,459,441,459,Hillary Clinton,Hillary Clinton,289,0.62963,Martin J. O'Malley,Martin J. O'Malley,5,0.010893,Bernie Sanders,Bernie Sanders,147,0.320261
27,106,HERITAGE,Fairfax,2016-03-16T11:51:43.000Z,stulad,106,HERITAGE,Fairfax County,Hillary Clinton,0.21844,10,705,692,705,Hillary Clinton,Hillary Clinton,420,0.595745,Martin J. O'Malley,Martin J. O'Malley,6,0.008511,Bernie Sanders,Bernie Sanders,266,0.377305
28,104,CHAPEL,Fairfax,2016-03-16T11:51:43.000Z,stulad,104,CHAPEL,Fairfax County,Hillary Clinton,0.324578,30,533,486,533,Hillary Clinton,Hillary Clinton,329,0.617261,Martin J. O'Malley,Martin J. O'Malley,1,0.001876,Bernie Sanders,Bernie Sanders,156,0.292683
29,116,WAKEFIELD,Fairfax,2016-03-16T11:51:43.000Z,stulad,116,WAKEFIELD,Fairfax County,Hillary Clinton,0.390706,30,581,539,581,Hillary Clinton,Hillary Clinton,383,0.659208,Martin J. O'Malley,Martin J. O'Malley,0,0,Bernie Sanders,Bernie Sanders,156,0.268503
