OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,REGVOTERS,TOTBALLOTSLINK,PERCVOTE,INPERSON,TOTBALLOTS
1,623,ALBAN,Fairfax,2016-03-16T11:51:49.000Z,stulad,623,ALBAN,Fairfax County,2677,567,0.211804,540,567
2,626,SARATOGA,Fairfax,2016-03-16T11:51:49.000Z,stulad,626,SARATOGA,Fairfax County,3360,718,0.21369,694,718
3,421,KINGSTOWNE,Fairfax,2016-03-16T11:51:49.000Z,stulad,421,KINGSTOWNE,Fairfax County,3380,738,0.218343,694,738
4,426,GREENSPRING,Fairfax,2016-03-16T11:51:49.000Z,stulad,426,GREENSPRING,Fairfax County,1787,571,0.31953,557,571
5,840,WEST SPRINGFIELD,Fairfax,2016-03-16T11:51:49.000Z,stulad,840,WEST SPRINGFIELD,Fairfax County,2829,648,0.229056,602,648
6,825,CHERRY RUN,Fairfax,2016-03-16T11:51:49.000Z,stulad,825,CHERRY RUN,Fairfax County,2717,549,0.202061,514,549
7,812,VALLEY,Fairfax,2016-03-16T11:51:49.000Z,stulad,812,VALLEY,Fairfax County,2791,590,0.211394,559,590
8,417,GARFIELD,Fairfax,2016-03-16T11:51:49.000Z,stulad,417,GARFIELD,Fairfax County,3473,608,0.175065,590,608
9,842,PARKWAY,Fairfax,2016-03-16T11:51:49.000Z,stulad,842,PARKWAY,Fairfax County,2314,433,0.187122,400,433
10,130,TERRA CENTRE,Fairfax,2016-03-16T11:51:49.000Z,stulad,130,TERRA CENTRE,Fairfax County,2276,531,0.233304,494,531
11,129,KEENE MILL,Fairfax,2016-03-16T11:51:49.000Z,stulad,129,KEENE MILL,Fairfax County,1577,372,0.235891,349,372
12,827,IRVING,Fairfax,2016-03-16T11:51:49.000Z,stulad,827,IRVING,Fairfax County,2495,590,0.236473,559,590
13,833,WHITE OAKS,Fairfax,2016-03-16T11:51:49.000Z,stulad,833,WHITE OAKS,Fairfax County,2952,596,0.201897,560,596
14,415,CRESTWOOD,Fairfax,2016-03-16T11:51:49.000Z,stulad,415,CRESTWOOD,Fairfax County,2369,504,0.212748,493,504
15,128,CARDINAL,Fairfax,2016-03-16T11:51:49.000Z,stulad,128,CARDINAL,Fairfax County,2100,510,0.242857,480,510
16,801,BURKE,Fairfax,2016-03-16T11:51:49.000Z,stulad,801,BURKE,Fairfax County,4572,949,0.207568,886,949
17,127,BURKE CENTRE,Fairfax,2016-03-16T11:51:49.000Z,stulad,127,BURKE CENTRE,Fairfax County,4170,899,0.215588,847,899
18,105,FAIRVIEW,Fairfax,2016-03-16T11:51:49.000Z,stulad,105,FAIRVIEW,Fairfax County,4462,1023,0.229269,979,1023
19,401,BUSH HILL,Fairfax,2016-03-16T11:51:49.000Z,stulad,401,BUSH HILL,Fairfax County,3085,766,0.248298,733,766
20,402,CAMERON,Fairfax,2016-03-16T11:51:49.000Z,stulad,402,CAMERON,Fairfax County,1010,229,0.226733,214,229
21,125,SIGNAL HILL,Fairfax,2016-03-16T11:51:49.000Z,stulad,125,SIGNAL HILL,Fairfax County,3092,673,0.217658,616,673
22,119,LAUREL,Fairfax,2016-03-16T11:51:49.000Z,stulad,119,LAUREL,Fairfax County,3879,926,0.238721,869,926
23,526,BREN MAR,Fairfax,2016-03-16T11:51:49.000Z,stulad,526,BREN MAR,Fairfax County,3083,754,0.244567,729,754
24,123,ROBINSON,Fairfax,2016-03-16T11:51:49.000Z,stulad,123,ROBINSON,Fairfax County,4044,864,0.21365,820,864
25,521,BROOK HILL,Fairfax,2016-03-16T11:51:49.000Z,stulad,521,BROOK HILL,Fairfax County,2087,395,0.189267,382,395
26,504,BRISTOW,Fairfax,2016-03-16T11:51:49.000Z,stulad,504,BRISTOW,Fairfax County,2317,459,0.198101,441,459
27,106,HERITAGE,Fairfax,2016-03-16T11:51:49.000Z,stulad,106,HERITAGE,Fairfax County,3434,705,0.2053,692,705
28,104,CHAPEL,Fairfax,2016-03-16T11:51:49.000Z,stulad,104,CHAPEL,Fairfax County,2301,533,0.231638,486,533
29,116,WAKEFIELD,Fairfax,2016-03-16T11:51:49.000Z,stulad,116,WAKEFIELD,Fairfax County,2205,581,0.263492,539,581
30,518,COLUMBIA,Fairfax,2016-03-16T11:51:49.000Z,stulad,518,COLUMBIA,Fairfax County,2632,495,0.18807,473,495
31,528,RIDGELEA,Fairfax,2016-03-16T11:51:49.000Z,stulad,528,RIDGELEA,Fairfax County,1233,275,0.223033,250,275
32,503,BELVEDERE,Fairfax,2016-03-16T11:51:49.000Z,stulad,503,BELVEDERE,Fairfax County,1546,494,0.319534,457,494
33,923,BULL RUN,Fairfax,2016-03-16T11:51:49.000Z,stulad,923,BULL RUN,Fairfax County,2164,306,0.141405,286,306
34,928,POPLAR TREE,Fairfax,2016-03-16T11:51:49.000Z,stulad,928,POPLAR TREE,Fairfax County,2743,493,0.17973,446,493
35,515,WESTLAWN,Fairfax,2016-03-16T11:51:49.000Z,stulad,515,WESTLAWN,Fairfax County,1562,361,0.231114,350,361
36,705,GRAHAM-GREENWAY,Fairfax,2016-03-16T11:51:49.000Z,stulad,705,GRAHAM-GREENWAY,Fairfax County,3214,844,0.262601,812,844
37,903,CUB RUN,Fairfax,2016-03-16T11:51:49.000Z,stulad,903,CUB RUN,Fairfax County,3754,726,0.193394,697,726
38,846,GREENBRIAR EAST,Fairfax,2016-03-16T11:51:49.000Z,stulad,846,GREENBRIAR EAST,Fairfax County,3211,631,0.196512,595,631
39,913,ROCKY RUN,Fairfax,2016-03-16T11:51:49.000Z,stulad,913,ROCKY RUN,Fairfax County,4099,742,0.18102,689,742
40,847,GREENBRIAR WEST,Fairfax,2016-03-16T11:51:49.000Z,stulad,847,GREENBRIAR WEST,Fairfax County,2139,483,0.225806,456,483
41,915,VIRGINIA RUN,Fairfax,2016-03-16T11:51:49.000Z,stulad,915,VIRGINIA RUN,Fairfax County,2756,414,0.150218,378,414
42,720,THOREAU,Fairfax,2016-03-16T11:51:49.000Z,stulad,720,THOREAU,Fairfax County,2708,733,0.270679,691,733
43,904,STONECROFT,Fairfax,2016-03-16T11:51:49.000Z,stulad,904,STONECROFT,Fairfax County,1635,229,0.140061,221,229
44,730,PENDERBROOK,Fairfax,2016-03-16T11:51:49.000Z,stulad,730,PENDERBROOK,Fairfax County,3140,616,0.196178,588,616
45,317,WESTHAMPTON,Fairfax,2016-03-16T11:51:49.000Z,stulad,317,WESTHAMPTON,Fairfax County,2119,568,0.268051,532,568
46,307,HAYCOCK,Fairfax,2016-03-16T11:51:49.000Z,stulad,307,HAYCOCK,Fairfax County,2337,674,0.288404,633,674
47,312,LONGFELLOW,Fairfax,2016-03-16T11:51:49.000Z,stulad,312,LONGFELLOW,Fairfax County,2538,618,0.243499,559,618
48,714,WALKER,Fairfax,2016-03-16T11:51:49.000Z,stulad,714,WALKER,Fairfax County,3277,660,0.201404,622,660
49,315,PIMMIT,Fairfax,2016-03-16T11:51:49.000Z,stulad,315,PIMMIT,Fairfax County,2956,665,0.224966,647,665
50,310,KIRBY,Fairfax,2016-03-16T11:51:49.000Z,stulad,310,KIRBY,Fairfax County,2059,525,0.254978,480,525
51,305,EL NIDO,Fairfax,2016-03-16T11:51:49.000Z,stulad,305,EL NIDO,Fairfax County,2221,638,0.287258,561,638
52,318,WESTMORELAND,Fairfax,2016-03-16T11:51:49.000Z,stulad,318,WESTMORELAND,Fairfax County,1416,375,0.264831,341,375
53,302,CHESTERBROOK,Fairfax,2016-03-16T11:51:49.000Z,stulad,302,CHESTERBROOK,Fairfax County,2556,712,0.27856,631,712
54,301,CHAIN BRIDGE,Fairfax,2016-03-16T11:51:49.000Z,stulad,301,CHAIN BRIDGE,Fairfax County,3331,690,0.207145,597,690
55,323,SHOUSE,Fairfax,2016-03-16T11:51:49.000Z,stulad,323,SHOUSE,Fairfax County,2193,516,0.235294,462,516
56,240,COLVIN,Fairfax,2016-03-16T11:51:49.000Z,stulad,240,COLVIN,Fairfax County,2381,435,0.182696,394,435
57,322,FORESTVILLE,Fairfax,2016-03-16T11:51:49.000Z,stulad,322,FORESTVILLE,Fairfax County,3057,519,0.169774,471,519
58,419,LANE,Fairfax,2016-03-16T11:51:49.000Z,stulad,419,LANE,Fairfax County,3046,781,0.256402,748,781
59,710,PINE SPRING,Fairfax,2016-03-16T11:51:49.000Z,stulad,710,PINE SPRING,Fairfax County,2082,514,0.246878,494,514
60,221,HUNTERS WOODS,Fairfax,2016-03-16T11:51:49.000Z,stulad,221,HUNTERS WOODS,Fairfax County,2619,787,0.300496,727,787
61,219,WESTBRIAR,Fairfax,2016-03-16T11:51:49.000Z,stulad,219,WESTBRIAR,Fairfax County,3397,696,0.204887,649,696
62,120,SIDEBURN,Fairfax,2016-03-16T11:51:49.000Z,stulad,120,SIDEBURN,Fairfax County,3127,632,0.202111,580,632
63,522,CAMELOT,Fairfax,2016-03-16T11:51:49.000Z,stulad,522,CAMELOT,Fairfax County,1355,328,0.242066,303,328
64,223,GLADE,Fairfax,2016-03-16T11:51:49.000Z,stulad,223,GLADE,Fairfax County,3507,1121,0.319646,1058,1121
