OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,REGVOTERS,TOTBALLOTSLINK,PERCVOTE,INPERSON,TOTBALLOTS
1,623,ALBAN,Fairfax,2016-03-16T11:51:51.000Z,stulad,623,ALBAN,Fairfax County,2677,474,0.177064,464,474
2,626,SARATOGA,Fairfax,2016-03-16T11:51:51.000Z,stulad,626,SARATOGA,Fairfax County,3360,704,0.209524,681,704
3,421,KINGSTOWNE,Fairfax,2016-03-16T11:51:51.000Z,stulad,421,KINGSTOWNE,Fairfax County,3380,519,0.15355,496,519
4,426,GREENSPRING,Fairfax,2016-03-16T11:51:51.000Z,stulad,426,GREENSPRING,Fairfax County,1787,490,0.274203,477,490
5,840,WEST SPRINGFIELD,Fairfax,2016-03-16T11:51:51.000Z,stulad,840,WEST SPRINGFIELD,Fairfax County,2829,785,0.277483,760,785
6,825,CHERRY RUN,Fairfax,2016-03-16T11:51:51.000Z,stulad,825,CHERRY RUN,Fairfax County,2717,754,0.277512,717,754
7,812,VALLEY,Fairfax,2016-03-16T11:51:51.000Z,stulad,812,VALLEY,Fairfax County,2791,669,0.239699,635,669
8,417,GARFIELD,Fairfax,2016-03-16T11:51:51.000Z,stulad,417,GARFIELD,Fairfax County,3473,456,0.131299,432,456
9,842,PARKWAY,Fairfax,2016-03-16T11:51:51.000Z,stulad,842,PARKWAY,Fairfax County,2314,630,0.272256,605,630
10,130,TERRA CENTRE,Fairfax,2016-03-16T11:51:51.000Z,stulad,130,TERRA CENTRE,Fairfax County,2276,575,0.252636,555,575
11,129,KEENE MILL,Fairfax,2016-03-16T11:51:51.000Z,stulad,129,KEENE MILL,Fairfax County,1577,365,0.231452,342,365
12,827,IRVING,Fairfax,2016-03-16T11:51:51.000Z,stulad,827,IRVING,Fairfax County,2495,687,0.275351,663,687
13,833,WHITE OAKS,Fairfax,2016-03-16T11:51:51.000Z,stulad,833,WHITE OAKS,Fairfax County,2952,604,0.204607,584,604
14,415,CRESTWOOD,Fairfax,2016-03-16T11:51:51.000Z,stulad,415,CRESTWOOD,Fairfax County,2369,410,0.173069,404,410
15,128,CARDINAL,Fairfax,2016-03-16T11:51:51.000Z,stulad,128,CARDINAL,Fairfax County,2100,453,0.215714,427,453
16,801,BURKE,Fairfax,2016-03-16T11:51:51.000Z,stulad,801,BURKE,Fairfax County,4572,861,0.18832,836,861
17,127,BURKE CENTRE,Fairfax,2016-03-16T11:51:51.000Z,stulad,127,BURKE CENTRE,Fairfax County,4170,900,0.215827,860,900
18,105,FAIRVIEW,Fairfax,2016-03-16T11:51:51.000Z,stulad,105,FAIRVIEW,Fairfax County,4462,1051,0.235545,1013,1051
19,401,BUSH HILL,Fairfax,2016-03-16T11:51:51.000Z,stulad,401,BUSH HILL,Fairfax County,3085,690,0.223663,653,690
20,402,CAMERON,Fairfax,2016-03-16T11:51:51.000Z,stulad,402,CAMERON,Fairfax County,1010,212,0.209901,201,212
21,125,SIGNAL HILL,Fairfax,2016-03-16T11:51:51.000Z,stulad,125,SIGNAL HILL,Fairfax County,3092,812,0.262613,785,812
22,119,LAUREL,Fairfax,2016-03-16T11:51:51.000Z,stulad,119,LAUREL,Fairfax County,3879,899,0.231761,863,899
23,526,BREN MAR,Fairfax,2016-03-16T11:51:51.000Z,stulad,526,BREN MAR,Fairfax County,3083,379,0.122932,363,379
24,123,ROBINSON,Fairfax,2016-03-16T11:51:51.000Z,stulad,123,ROBINSON,Fairfax County,4044,935,0.231207,905,935
25,521,BROOK HILL,Fairfax,2016-03-16T11:51:51.000Z,stulad,521,BROOK HILL,Fairfax County,2087,342,0.163872,327,342
26,504,BRISTOW,Fairfax,2016-03-16T11:51:51.000Z,stulad,504,BRISTOW,Fairfax County,2317,256,0.110488,247,256
27,106,HERITAGE,Fairfax,2016-03-16T11:51:51.000Z,stulad,106,HERITAGE,Fairfax County,3434,338,0.098427,329,338
28,104,CHAPEL,Fairfax,2016-03-16T11:51:51.000Z,stulad,104,CHAPEL,Fairfax County,2301,643,0.279444,619,643
29,116,WAKEFIELD,Fairfax,2016-03-16T11:51:51.000Z,stulad,116,WAKEFIELD,Fairfax County,2205,507,0.229932,489,507
30,518,COLUMBIA,Fairfax,2016-03-16T11:51:51.000Z,stulad,518,COLUMBIA,Fairfax County,2632,356,0.135258,340,356
31,528,RIDGELEA,Fairfax,2016-03-16T11:51:51.000Z,stulad,528,RIDGELEA,Fairfax County,1233,354,0.287105,332,354
32,503,BELVEDERE,Fairfax,2016-03-16T11:51:51.000Z,stulad,503,BELVEDERE,Fairfax County,1546,330,0.213454,311,330
33,923,BULL RUN,Fairfax,2016-03-16T11:51:51.000Z,stulad,923,BULL RUN,Fairfax County,2164,695,0.321165,652,695
