Location Name,Accessible,PRECINCT,PRECINCT2,PRECINCT3,PRECINCT4,PRECINCT5,PRECINCT6,Address,City,X,Y,Location 1
COMMUNITY CHURCH OF BARRINGTON,Y,7000001,,,,,,301 E LINCOLN AVE,BARRINGTON,-88.1329760796,42.1513724857,"(42.1513724857, -88.1329760796)"
BARRINGTON VILLLAGE HALL,Y,7000002,,,,,,200 S HOUGH ST,BARRINGTON,-88.1365093064,42.1527805465,"(42.1527805465, -88.1365093064)"
GROVE AVENUE SCHOOL,Y,7000003,,,,,,900 GROVE ST,BARRINGTON,-88.1333437857,42.1428312099,"(42.1428312099, -88.1333437857)"
WILLOW CREEK COMM CHURCH,Y,7000004,7000008,7000010,7000011,,,67 E ALGONQUIN RD,SOUTH BARRINGTON,-88.135819315,42.0920689372,"(42.0920689372, -88.135819315)"
ST MICHAELS EPISCOPAL CHURCH,Y,7000006,7000009,,,,,647 DUNDEE AVE,BARRINGTON,-88.1407127553,42.1472452857,"(42.1472452857, -88.1407127553)"
VILLAGE OF BARRINGTON HILLS,Y,7000007,,,,,,112 ALGONQUIN RD,BARRINGTON,-88.1750371822,42.11224305,"(42.11224305, -88.1750371822)"
THE PRESBYTERIAN CHURCH,Y,7000005,,,,,,6 BRINKER RD,BARRINGTON HILLS,-88.1757973668,42.1524664247,"(42.1524664247, -88.1757973668)"
CITIZENS COMMUNITY BANK,Y,9901001,,,,,,3322  S OAK PARK AVE,BERWYN,-87.7932716679,41.8313793024,"(41.8313793024, -87.7932716679)"
MOOSE LODGE,Y,9901002,,,,,,3625   HARLEM AVE,BERWYN,-87.8022713505,41.8259615448,"(41.8259615448, -87.8022713505)"
IRVING SCHOOL,Y,9901004,9901005,,,,,3501  S CLINTON AVE,BERWYN,-87.7958011117,41.8281712409,"(41.8281712409, -87.7958011117)"
PAVEK REC CENTER,Y,9902001,9904001,,,,,6501   31ST ST,BERWYN,-87.785593407,41.8364277068,"(41.8364277068, -87.785593407)"
PERSHING SCHOOL,Y,9901003,9902002,9902003,,,,6537  W 37TH ST,BERWYN,-87.7869790576,41.8254057906,"(41.8254057906, -87.7869790576)"
FIRST CONG CHURCH,Y,9902004,,,,,,6500  W 34TH ST,BERWYN,-87.7858743437,41.8301451437,"(41.8301451437, -87.7858743437)"
BERWYN FIRE STATION / CITY BERWYN,Y,9903001,9903004,,,,,6700  W 26TH ST,BERWYN,-87.7906815405,41.8432970807,"(41.8432970807, -87.7906815405)"
BERWYN PARK DISTRICT,Y,9903002,,,,,,3001  S WISCONSIN AVE,BERWYN,-87.8000212607,41.8375493758,"(41.8375493758, -87.8000212607)"
PIPER SCHOOL,Y,9903003,,,,,,2435  S KENILWORTH AVE,BERWYN,-87.7951048946,41.8455385623,"(41.8455385623, -87.7951048946)"
